AddNum_Pre,
Add_Number,addr_num
AddNum_Suf,
AddNo_Full,
St_PreMod,
St_PreDir,
St_PreTyp,
St_PreSep,
St_Name,street_name
St_PosTyp,street_type
St_PosDir,
St_PosMod,
StNam_Full,
Building,
Floor,
Unit,unit
Room,
Seat,
Addtl_Loc,
SubAddress,
LandmkName,
County,
Inc_Muni,inc_muni
Post_City,post_city
Census_Plc,
Uninc_Comm,
Nbrhd_Comm,
NatAmArea,
NatAmSub,
Urbnztn_PR,
PlaceOther,
PlaceNmTyp,
State,
Zip_Code,
Plus_4,
UUID,
AddAuth,
AddrRefSys,
Longitude,
Latitude,
NatGrid,
Elevation,
Placement,
AddrPoint,
Related_ID,
RelateType,
ParcelSrc,
Parcel_ID,
AddrClass,
Lifecycle,
Effective,
Expire,
DateUpdate,
AnomStatus,
LocatnDesc,
Addr_Type,
DeliverTyp,
NAD_Source,
DataSet_ID,id